InstitutionCode,CollectionCode,CollectionName
Harvard University,NEBC,New England Botanical Club
VPI,,Massey Herbarium (Virginia Tech)
SQB,,Société Québécoise de Bryologie
BALT,,Towson University Biodiversity Center
US,,United States National Herbarium - Smithsonian
QFA,,"Louis-Marie Herbarium, Université Laval"
UARK,,University of Arkanasas Herbarium
AUA,,The Freeman Herbarium at Auburn University
LCDI,,Luther College
SUCO,,Jewell and Arline Moss Settle Herbarium at SUNY Oneonta
UNM,,"Museum of Southwestern Biology, University of New Mexico"
UNCA,,University of North Carolina at Asheville
SNM,,Gila Center for Natural History (WNMU) Herbarium
NMCR,,NMSU Center for Natural History Collections Range Science
CHSC,,The Chico State Herbarium
OBI,,"Robert F. Hoover Herbarium, Cal Poly State University"
SFSU,,Harry D. Thiers Herbarium at San Francisco State University
GRCH,,Colgate University - George R. Cooley Herbarium
ACAD,,"E. C. Smith Herbarium, Acadia University"
KE,,Kent State University Herbarium
ID,,University of Idaho
UCSC,,William T. Doyle Bryophyte Herbarium at University of California Santa Cruz
MDKY,,Morehead State University
FSU,,Robert K. Godfrey Herbarium at The Florida State University
ISC,,"Iowa State University, Ada Hayden Herbarium"
UQAT,,Universite du Quebec en Abitibi-Temiscaningue
MISS,Bryophytes,"University of Mississippi, Thomas M. Pullen Herbarium"
ILH,,Iowa Lakeside Laboratory
WSCO,,Weber State Bryophyte Collection
ASU,Bryophytes,Arizona State University
FMNH,Invertebrate Zoology,Field Museum of Natural History Invertebrates
UMMZ,Mollusk Collection,University of Michigan Museum of Zoology
FLMNH,,Florida Museum of Natural History
PSU,PSUC,Frost Entomological Museum
UAM,INVERT,University of Alaska Museum
SNM,INVERT,Sam Noble Oklahoma Museum of Natural History
DMNS,INVERT,Denver Museum of Nature & Science
IZ,YPM,Yale University Peabody Museum
DMNH,Mollusk,Delaware Museum of Natural History – Mollusks
NCSM,UNIO,North Carolina Museum of Natural Sciences - Mollusk Collection
AUMNH,AUM,Auburn University Museum of Natural History
NAU,NAUF3A,Colorado Plateau Biodiversity Center- Mollusk Collection
EKU,Mollusks,Eastern Kentucky University Mollusk Collection
CM,Mollusks,Carnegie Museum of Natural History - Mollusks
CHAS,MAL,Chicago Academy of Sciences
Naturalis,Mollusca,Naturalis Biodiversity Center (NL) - Mollusca
ASU,,Arizona State University Lichen Herbarium
SBBG,,Santa Barbara Botanic Garden Lichen Herbarium
OMA,,University of Nebraska at Omaha Herbarium
MIN,,"Bell Museum of Natural History, lichen section, Univ. of Minnesota"
CNALH,Observation,General Observation and Personal Collections
ILLS,,Illinois Natural History Survey 
UPS,,Uppsala University Exsiccati
ISC,,Ada Hayden Herbarium at Iowa State University
VT,,"University of Vermont, Pringle Herbarium, North American lichens"
Harvard University,FH,Farlow Herbarium of Cryptogamic Botany
MONT,,Montana State University Herbarium
KANU,,University of Kansas Ronald L. McGregor Herbarium
CUP,,Cornell University Plant Pathology Herbarium
TLE,,T. L. Esslinger Herbarium
HAW,L,"University of Hawaii, Joseph F. Rock Herbarium"
C,,Natural History Museum of Denmark: The Herbarium of Lichens
UMFK,,University of Maine at Fort Kent
O,,"Natural History Museum, University of Oslo"
BG,,University Museum of Bergen
IDS,,Idaho Museum of Natural History
UCR,,"University of California, Riverside"
UVU,,Utah Valley University Herbarium
NBM,,New Brunswick Museum
UCSB,,University of California - Santa Barbara
CSCN,,High Plains Herbarium at Chadron State College
GAM,,"University of Georgia, Julian H. Miller Mycological Herbarium"
UCSC,,Kenneth S. Norris Center for Natural History at University of California Santa Cruz
USCH,Lichens,"University of South Carolina, A. C. Moore Herbarium"
UNM,,University of New Mexico Herbarium (UNM).
F,supplement,Field Museum - supplement data
ILD,,Indian Lichen Database
CDS,Lichens,Herbario de Líquenes de la Fundación Charles Darwin Foundation para las Islas Galápagos
DAV,,"University of California Davis, Center for Plant Diversity - Herbarium"
MNA,Lichens,Museum of Northern Arizona
UWAL,lichens,Herbarium of the University of West Alabama
DBG,DBG,"Denver Botanic Garden, Sam Mitchel Herbarium of Fungi"
USU,UTC,"Utah State University, Intermountain Herbarium"
MP,,General Observation and Personal Collections
ARIZ,,"University of Arizona, Gilbertson Mycological Herbarium"
TENN,TENN-F,University of Tennessee Fungal Herbarium
DEWV,,Davis & Elkins College Herbarium
LSUM,,"Louisiana State University, Bernard Lowy Mycological Herbarium"
RET,,Herbarium Amanitarum Rooseveltensis
UC,,"University of California Berkeley, University Herbarium"
SFSU,,"San Francisco State University, Harry D. Thiers Herbarium"
MIN,,"University of Minnesota, Bell Museum of Natural History Herbarium Fungal Collection"
NCSLG,,"North Carolina State University, Larry F. Grand Mycological Herbarium"
FH,,"Harvard University, Farlow Herbarium"
CUP,,"Cornell University, Plant Pathology Herbarium"
BPI,,United States National Fungus Collections
DUKE,,"Duke University, Herbarium Fungal Collection"
CSU,,University of Central Oklahoma Herbarium
HCOA,,"College of the Atlantic, Acadia National Park Herbarium"
MONTU,,University of Montana Herbarium
VPI,,"Virginia Tech University, Massey Herbarium"
EIU,,Eastern Illinois University
SYRF,,"State University of New York, SUNY College of Environmental Science and Forestry Herbarium"
CORT,,State University of New York College at Cortland
RMS,,"University of Wyoming, Wilhelm G. Solheim Mycological Herbarium"
MUOB,,Mushroom Observer
UCSC,,University of California Santa Cruz Fungal Herbarium
FLD,,Fort Lewis College Herbarium
VT,,"University of Vermont, Pringle Herbarium, Macrofungi"
PUL,,"Purdue University, Kriebel Herbarium"
HAW-F,,"University of Hawaii, Joseph F. Rock Herbarium"
WIS,,University of Wisconsin-Madison Herbarium
PUR,,"Purdue University, Arthur Fungarium"
CFMR,,"USDA Forest Service, Center for Forest Mycology Research"
FPF,,"USDA Forest Service, Rocky Mountain Research Station"
USAM,,University of South Alabama Herbarium
CLEMS,,Clemson University Herbarium
ACAD,,"Acadia University, E. C. Smith Herbarium"
BRU,,Brown University Herbarium
BISH,,"Bishop Museum, Herbarium Pacificum"
TRTC,,Royal Ontario Museum Fungarium
CMMF,,"Université de Montréal, Cercle des Mycologues de Montréal Fungarium"
MAINE,,"University of Maine, Richard Homola Mycological Herbarium"
KANU,KU-F,"University of Kansas, R. L. McGregor Herbarium"
WSP,,"Washington State University, Charles Gardner Shaw Mycological Herbarium"
FNL,,Foray Newfoundland and Labrador Fungarium
FNL,,Foray Newfoundland and Labrador
UACCC,,University of Alabama Chytrid Culture Collection
CHSC,,"California State University Chico, Chico State Herbarium"
MSC,,Michigan State University Herbarium
UARK,,University of Arkansas Fungarium
URV,,University of Richmond
MISS,,University of Mississippi
BAFC,,Universidad de Buenos Aires
QFB,,René-Pomerleau Herbarium
IND,,Indiana University
ETH,,Addis Ababa University
PDD,,Landcare Research
N/A,,Brazil SpeciesLink data from iDigBio
UT,,Natural History Museum of Utah Fungarium
iNat,,iNaturalist Research Grade Observations
LIMC,,Long Island Mycological Club
BPI,,Index of the C.G. Lloyd Mycological Collection Specimens Housed at BPI
N/A,,Mushroom Mountain Fungarium
IASD,,Indian Ascomycetes Fungal Database
IMUD,,Indian Mushroom Database
IRFD,,Indian Rust Fungal Database
IBUG,,Universidad de Guadalajara
SWAT,,Swat University Fungarium
LA,,"University of California, Los Angeles"
IMUD,,Indian Myxomycetes Database
IMUD,,Indian Marine Fungi Database
UCHT,,"University of Tennessee, Chattanooga"
UWSP,,University of Wisconsin-Stevens Point Herbarium
NAMP-CMS,,"NAMP - Cascade Mycological Society: Macrofungi of Lane County, Oregon"
ASU,ASUHIC,Arizona State University Hasbrouck Insect Collection
NAUF,CPMAB,Colorado Plateau Museum of Arthropod Biodiversity
CSU,CSUC,C.P. Gillette Museum of Arthropod Diversity
UNM,MSBA,"Museum of Southwestern Biology, Division of Arthropods"
TTU,TTU-Z,Texas Tech University - Invertebrate Zoology
UCM,UCMC,University of Colorado Museum of Natural History Entomology Collection
TAMU,TAMUIC,Texas A&M University Insect Collection
NMSU,NMSU,New Mexico State Collection of Arthropods
UA,UAIC,University of Arizona Insect Collection
DMNS,Arac,Denver Museum of Nature & Science - Arachnology
GPSC,,Gregory P. Setliff Collection - Kutztown University
UMNH,ENT,Entomology Collection at the Natural History Museum of Utah
UNL,SCARAB,Scarab Central: World Scarabaeoidea
UDAF,UDAFE,Utah Department of Agriculture and Food Entomology Collection
BYU,BYUC,Brigham Young University Arthropod Museum
MCZ,,"Museum of Comparative Zoology, Harvard University"
MOD_AMNH,MOD_AMNH,Moth Observations Database: American Museum of Natural History
MOD_CAS,MOD_CAS,Moth Observations Database: California Academy of Sciences
MOD_CDFA,MOD_CDFA,Moth Observations Database: California Department of Food and Agriculture
MOD_CNC,MOD_CNC,Moth Observations Database: Canadian National Collection
MOD_CSUFC,MOD_CSUFC,"Moth Observations Database: Colorado State University, Fort Collins"
MOD_DMNS,MOD_DMNS,Moth Observations Database: Denver Museum of Nature & Science
MOD_LACM,MOD_LACM,Moth Observations Database: LA County Museum of Natural History
MOD_NMNH,MOD_NMNH,Moth Observations Database: National Museum of Natural History
MOD_PMJ,MOD_PMJ,Moth Observations Database: Peter Jump Personal Collection
MOD_PR,MOD_PR,Moth Observations Database: Paul and Sandy Russel Personal Collection
MOD_SDNHM,MOD_SDNHM,Moth Observations Database: San Diego Natural History Museum
MOD_TED,MOD_TED,Moth Observations Database: Tom Dimock Personal Collection
MOD_UCB,MOD_UCB,Moth Observations Database: UC Berkeley
MOD_UCD,MOD_UCD,Moth Observations Database: UC Davis
MOD_UCONN,MOD_UCONN,Moth Observations Database: University of Connecticut
MOD_UCR,MOD_UCR,Moth Observations Database: UC Riverside
MOD_KSU,MOD_KSU,Moth Observation Database: Kansas State University
MOD_FMNH,MOD_FMNH,Moth Observation Database: Field Museum of Natural History
MOD_SBMNH,MOD_SBMNH,Moth Observation Database: Santa Barbara Museum of Natural History
MOD_WPC,MOD_WPC,Moth Observation Database: David L. Wikle Personal Collection
UKY-HIC,HIC,Hymenoptera Institute Collection
AMNH,BEE,North American Bee Collections
UAQ,UAQE,Colección Zoológica de la Universidad Autónoma de Querétaro
UHIM,UHIM,University of Hawaii Insect Museum
DUGWAY,DUG-ENT,Dugway Proving Ground Natural History Collection
UTC,UTCI,University of Tennessee at Chattanooga
OSU,OSU,Ohio State C.A. Triplehorn Insect Collection
GMNH,UGCA,University of Georgia Collection of Arthropods
DBG,DBGA,Denver Botanic Gardens Collection of Arthropods
PU,PERC,The Purdue Entomological Research Collection
UAM,UAM_ENT,UAM Insect Collection
YPM,ENT,"Yale Peabody Museum, Entomology Division"
KU,SEMC,University of Kansas Natural History Museum Entomology Division
CAS,ANTWEB,AntWeb
SDSU,TAC,SDSU Terrestrial Arthropods Collection
WWU,WWUC,Western Washington University Insect Collection
CAS,ENT,California Academy of Sciences Entomology
UD,UDCC,University of Delaware Insect Research Collection
FLMNH,MGCL,"Florida Museum of Natural History, McGuire Center for Lepidoptera and Biodiversity"
ANSP,ENT,Academy of Natural Sciences Entomology Collection - Live Data
MPM,MPM ENT,"Milwaukee Public Museum, Invertebrate Zoology-Insect Collection"
USNM,USNMENT,"United States National Museum, Entomology Collections"
VPI,VTEC,Virginia Polytechnic Institute and State University Insect Collection
MSU,MSUC,The Albert J. Cook Arthropod Research Collection
UCD,BMEC,R. M. Bohart Museum of Entomology
MIN,UMSP,University of Minnesota Insect Collection
KSU,MEPAR,K-State Museum of Entomological and Prairie Arthropod Research
UNR,ENTO,"University of Nevada, Reno, Museum of Natural History, Entomology Research Collection"
OMNH,RINVRT,The Sam Noble Museum Department of Recent Invertebrates
UAM,UASM,"University of Alberta Museums, E. H. Strickland Entomological Museum"
OSU,OSAC,Oregon State Arthropod Collection
CU,CUAC,Clemson University Arthropod Collection
UI,WFBM,William F. Barr Entomological Museum
EMEC,EMEC,Essig Museum of Entomology
FMNH,FMNHINS,"Field Museum of Natural History Collection of Insects, Arachnids, and Myriapods"
UVM,VTZT,University of Vermont Zadock Thompson Zoological Collection-Invertebrates
AMNH,TTD,Tri-Trophic TCN
BLM,MLFO,BLM Mother Lode Field Office: The Bees of Pine Hill Preserve
CLEV,CMNHENT,Cleveland Museum of Natural History Invertebrate Zoology Collection
MAJC,MAJC,M. Andrew Johnston Collection
WICH,WICHI,Wichita State University Collection
EVG,EVGC,Ed V Gage Collection
SBMNH,SBMNHENT,Santa Barbara Museum of Natural History Entomology Collection
INHS,INHSIC,Illinois Natural History Survey Insect Collection
LACM,LACMEC,Natural History Museum of Los Angeles County
NMK,INV,"National Museums of Kenya, Invertebrate Section"
